regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_user-publication-service
2025-11-21T10:54:44.668230188Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Metadados da imagem extraídos com sucesso. Tags encontradas: 134 | RequestId: 86c84652-7285-468f-bd09-d25d2e9d87c8
2025-11-21T10:54:44.668308189Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Buscando dados do usuário em: http://user-auth-service:8080/api/v1/uuid/a3b8d4f6-7e1c-4b9a-9d0f-2c5e1a8b7c6d | RequestId: 86c84652-7285-468f-bd09-d25d2e9d87c8
2025-11-21T10:54:44.673926633Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Dados do usuário recebidos: admin | RequestId: 86c84652-7285-468f-bd09-d25d2e9d87c8
2025-11-21T10:54:44.673977533Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Enviando payload combinado para o serviço Node.js em: http://get-data:8083/process-java-payload | RequestId: 86c84652-7285-468f-bd09-d25d2e9d87c8
2025-11-21T10:54:44.697585618Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Resposta do serviço Node.js recebida. Status: 200 OK | RequestId: 86c84652-7285-468f-bd09-d25d2e9d87c8

2025-11-21T10:54:45.616974418Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Recebido upload. Título original: Publication title | RequestId: b69c7c19-8808-411c-813b-deaaa6b55295
2025-11-21T10:54:45.630021221Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Recebido upload. Título original: Publication title | RequestId: 80e39ab1-721c-43d7-9e7b-cbf84e688e7d
2025-11-21T10:54:45.635286762Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Metadados da imagem extraídos com sucesso. Tags encontradas: 134 | RequestId: b69c7c19-8808-411c-813b-deaaa6b55295
2025-11-21T10:54:45.635314762Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Buscando dados do usuário em: http://user-auth-service:8080/api/v1/uuid/a3b8d4f6-7e1c-4b9a-9d0f-2c5e1a8b7c6d | RequestId: b69c7c19-8808-411c-813b-deaaa6b55295
2025-11-21T10:54:45.639908698Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Metadados da imagem extraídos com sucesso. Tags encontradas: 134 | RequestId: 80e39ab1-721c-43d7-9e7b-cbf84e688e7d
2025-11-21T10:54:45.640974006Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Buscando dados do usuário em: http://user-auth-service:8080/api/v1/uuid/a3b8d4f6-7e1c-4b9a-9d0f-2c5e1a8b7c6d | RequestId: 80e39ab1-721c-43d7-9e7b-cbf84e688e7d
